,player,position,team,birthdate,birthyear,birthmonth,birthday,currentyear,age
0,Derrick Henry,RB,TEN,1994-01-04,1994,1,4,2021,27
1,Alvin Kamara,RB,NO,1995-07-25,1995,7,25,2021,26
2,Davante Adams,WR,GB,1992-12-24,1992,12,24,2021,29
3,Dalvin Cook,RB,MIN,1995-08-10,1995,8,10,2021,26
4,Tyreek Hill,WR,KC,1994-03-01,1994,3,1,2021,27
5,Aaron Jones,RB,GB,1994-12-02,1994,12,2,2021,27
6,Austin Ekeler,RB,LAC,1995-05-17,1995,5,17,2021,26
7,Travis Kelce,TE,KC,1989-10-05,1989,10,5,2021,32
8,DeAndre Hopkins,WR,ARI,1992-06-06,1992,6,6,2021,29
9,Calvin Ridley,WR,ATL,1994-12-20,1994,12,20,2021,27
10,Allen Robinson II,WR,CHI,1993-08-24,1993,8,24,2021,28
11,Keenan Allen,WR,LAC,1992-04-27,1992,4,27,2021,29
12,Stefon Diggs,WR,BUF,1993-11-29,1993,11,29,2021,28
13,David Montgomery,RB,CHI,1997-06-07,1997,6,7,2021,24
14,D'Andre Swift,RB,DET,1999-01-14,1999,1,14,2021,22
15,Robert Woods,WR,LAR,1992-04-10,1992,4,10,2021,29
16,Nick Chubb,RB,CLE,1995-12-27,1995,12,27,2021,26
17,A.J. Brown,WR,TEN,1997-06-30,1997,6,30,2021,24
18,Justin Jefferson,WR,MIN,1999-01-16,1999,1,16,2021,22
19,Miles Sanders,RB,PHI,1997-05-01,1997,5,1,2021,24
20,Josh Jacobs,RB,LV,1998-02-11,1998,2,11,2021,23
21,D.K. Metcalf,WR,SEA,1997-12-14,1997,12,14,2021,24
22,Darren Waller,TE,LV,1992-09-13,1992,9,13,2021,29
23,Brandon Aiyuk,WR,SF,1998-03-17,1998,3,17,2021,23
24,Terry McLaurin,WR,WAS,1995-09-15,1995,9,15,2021,26
25,J.K. Dobbins,RB,BAL,1998-12-17,1998,12,17,2021,23
26,Chris Carson,RB,SEA,1994-09-16,1994,9,16,2021,27
27,Jonathan Taylor,RB,IND,1999-01-19,1999,1,19,2021,22
28,Adam Thielen,WR,MIN,1990-08-22,1990,8,22,2021,31
29,Patrick Mahomes II,QB,KC,1995-09-17,1995,9,17,2021,26
30,Mike Evans,WR,TB,1993-08-21,1993,8,21,2021,28
31,David Johnson,RB,HOU,1991-12-16,1991,12,16,2021,30
32,T.J. Hockenson,TE,DET,1997-07-03,1997,7,3,2021,24
33,Diontae Johnson,WR,PIT,1996-07-05,1996,7,5,2021,25
34,Jarvis Landry,WR,CLE,1992-11-28,1992,11,28,2021,29
35,D.J. Moore,WR,CAR,1997-04-14,1997,4,14,2021,24
36,Cooper Kupp,WR,LAR,1993-06-15,1993,6,15,2021,28
37,Kareem Hunt,RB,CLE,1995-08-06,1995,8,6,2021,26
38,Mark Andrews,TE,BAL,1996-09-06,1996,9,6,2021,25
39,Kenyan Drake,RB,LV,1994-01-26,1994,1,26,2021,27
40,Melvin Gordon III,RB,DEN,1993-04-13,1993,4,13,2021,28
41,J.D. McKissic,RB,WAS,1993-08-15,1993,8,15,2021,28
42,Chris Godwin,WR,TB,1996-02-27,1996,2,27,2021,25
43,Brandin Cooks,WR,HOU,1993-09-25,1993,9,25,2021,28
44,Amari Cooper,WR,DAL,1994-06-17,1994,6,17,2021,27
45,Corey Davis,WR,NYJ,1995-01-11,1995,1,11,2021,26
46,Leonard Fournette,RB,TB,1995-01-18,1995,1,18,2021,26
47,Tyler Lockett,WR,SEA,1992-09-28,1992,9,28,2021,29
48,Giovani Bernard,RB,CIN,1991-11-22,1991,11,22,2021,30
49,Marvin Jones Jr.,WR,JAC,1990-03-12,1990,3,12,2021,31
50,Wayne Gallman,RB,NYG,1994-10-01,1994,10,1,2021,27
51,Kyler Murray,QB,ARI,1997-08-07,1997,8,7,2021,24
52,Mike Davis,RB,ATL,1992-05-11,1992,5,11,2021,29
53,Myles Gaskin,RB,MIA,1997-02-15,1997,2,15,2021,24
54,Nyheim Hines,RB,IND,1996-11-12,1996,11,12,2021,25
55,Aaron Rodgers,QB,GB,1983-12-02,1983,12,2,2021,38
56,Tony Pollard,RB,DAL,1997-04-30,1997,4,30,2021,24
57,Darrell Henderson,RB,LAR,1997-08-19,1997,8,19,2021,24
58,Robert Tonyan,TE,GB,1994-04-30,1994,4,30,2021,27
59,Cole Beasley,WR,BUF,1989-04-26,1989,4,26,2021,32
60,Robby Anderson,WR,CAR,1993-05-09,1993,5,9,2021,28
61,Le'Veon Bell,RB,KC,1992-02-18,1992,2,18,2021,29
62,T.Y. Hilton,WR,IND,1989-11-14,1989,11,14,2021,32
63,JuJu Smith-Schuster,WR,PIT,1996-11-22,1996,11,22,2021,25
64,James White,RB,NE,1992-02-03,1992,2,3,2021,29
65,Chase Edmonds,RB,ARI,1996-04-13,1996,4,13,2021,25
66,Hunter Henry,TE,NE,1994-12-07,1994,12,7,2021,27
67,Chase Claypool,WR,PIT,1998-07-07,1998,7,7,2021,23
68,Curtis Samuel,WR,WAS,1996-08-11,1996,8,11,2021,25
69,Deshaun Watson,QB,HOU,1995-09-14,1995,9,14,2021,26
70,Jeff Wilson Jr.,RB,SF,1995-11-16,1995,11,16,2021,26
71,Emmanuel Sanders,WR,BUF,1987-03-17,1987,3,17,2021,34
72,Dallas Goedert,TE,PHI,1995-01-03,1995,1,3,2021,26
73,Jalen Hurts,QB,PHI,1998-08-07,1998,8,7,2021,23
74,Devin Singletary,RB,BUF,1997-09-03,1997,9,3,2021,24
75,Josh Allen,QB,BUF,1996-05-21,1996,5,21,2021,25
76,Antonio Brown,WR,TB,1988-07-10,1988,7,10,2021,33
77,Keke Coutee,WR,HOU,1997-01-14,1997,1,14,2021,24
78,Latavius Murray,RB,NO,1990-01-18,1990,1,18,2021,31
79,Lamar Jackson,QB,BAL,1997-01-07,1997,1,7,2021,24
80,Noah Fant,TE,DEN,1997-11-20,1997,11,20,2021,24
81,CeeDee Lamb,WR,DAL,1999-04-08,1999,4,8,2021,22
82,Marquise Brown,WR,BAL,1997-06-04,1997,6,4,2021,24
83,Tim Patrick,WR,DEN,1993-11-23,1993,11,23,2021,28
84,Tyler Boyd,WR,CIN,1994-11-15,1994,11,15,2021,27
85,Justin Herbert,QB,LAC,1998-03-10,1998,3,10,2021,23
86,Phillip Lindsay,RB,HOU,1994-07-24,1994,7,24,2021,27
87,D.J. Chark Jr.,WR,JAC,1996-09-23,1996,9,23,2021,25
88,Tee Higgins,WR,CIN,1999-01-18,1999,1,18,2021,22
89,Russell Wilson,QB,SEA,1988-11-29,1988,11,29,2021,33
90,Logan Thomas,TE,WAS,1991-07-01,1991,7,1,2021,30
91,Nelson Agholor,WR,NE,1993-05-24,1993,5,24,2021,28
92,Jamaal Williams,RB,DET,1995-04-03,1995,4,3,2021,26
93,Frank Gore,RB,NYJ,1983-05-14,1983,5,14,2021,38
94,Russell Gage,WR,ATL,1996-01-22,1996,1,22,2021,25
95,Ryan Tannehill,QB,TEN,1988-07-27,1988,7,27,2021,33
96,Tom Brady,QB,TB,1977-08-03,1977,8,3,2021,44
97,Gus Edwards,RB,BAL,1995-04-13,1995,4,13,2021,26
98,Salvon Ahmed,RB,MIA,1998-12-30,1998,12,30,2021,23
99,Todd Gurley II,RB,ATL,1994-08-03,1994,8,3,2021,27
100,Sterling Shepard,WR,NYG,1993-02-10,1993,2,10,2021,28
101,Benny Snell Jr.,RB,PIT,1998-02-26,1998,2,26,2021,23
102,Evan Engram,TE,NYG,1994-09-02,1994,9,2,2021,27
103,Jamison Crowder,WR,NYJ,1993-06-17,1993,6,17,2021,28
104,DeVante Parker,WR,MIA,1996-03-16,1996,3,16,2021,25
105,Rob Gronkowski,TE,TB,1989-05-14,1989,5,14,2021,32
106,Julio Jones,WR,ATL,1989-02-08,1989,2,8,2021,32
107,Michael Pittman Jr.,WR,IND,1997-10-05,1997,10,5,2021,24
108,Allen Lazard,WR,GB,1995-12-11,1995,12,11,2021,26
109,Jerry Jeudy,WR,DEN,1999-04-24,1999,4,24,2021,22
110,Jakobi Meyers,WR,NE,1996-11-09,1996,11,9,2021,25
111,Ito Smith,RB,ATL,1995-09-11,1995,9,11,2021,26
112,Kalen Ballage,RB,PIT,1995-12-22,1995,12,22,2021,26
113,Christian Kirk,WR,ARI,1996-11-18,1996,11,18,2021,25
114,Sony Michel,RB,NE,1995-02-17,1995,2,17,2021,26
115,James Robinson,RB,JAC,1998-08-09,1998,8,9,2021,23
116,Matt Ryan,QB,ATL,1985-05-17,1985,5,17,2021,36
117,Malcolm Brown,RB,MIA,1993-05-15,1993,5,15,2021,28
118,Baker Mayfield,QB,CLE,1995-04-14,1995,4,14,2021,26
119,Tua Tagovailoa,QB,MIA,1998-03-02,1998,3,2,2021,23
120,Jalen Reagor,WR,PHI,1999-01-01,1999,1,1,2021,22
121,Darius Slayton,WR,NYG,1997-01-12,1997,1,12,2021,24
122,Carlos Hyde,RB,JAC,1990-09-20,1990,9,20,2021,31
123,Drew Brees,QB,NO,1979-01-15,1979,1,15,2021,42
124,James Conner,RB,PIT,1995-05-05,1995,5,5,2021,26
125,Ezekiel Elliott,RB,DAL,1995-07-22,1995,7,22,2021,26
126,Eric Ebron,TE,PIT,1993-04-10,1993,4,10,2021,28
127,Boston Scott,RB,PHI,1995-04-27,1995,4,27,2021,26
128,Jared Goff,QB,DET,1994-10-14,1994,10,14,2021,27
129,Darnell Mooney,WR,CHI,1997-10-29,1997,10,29,2021,24
130,Mitchell Trubisky,QB,BUF,1994-08-20,1994,8,20,2021,27
131,Austin Hooper,TE,CLE,1994-10-29,1994,10,29,2021,27
132,Ben Roethlisberger,QB,PIT,1982-03-02,1982,3,2,2021,39
133,Kirk Cousins,QB,MIN,1988-08-19,1988,8,19,2021,33
134,Matthew Stafford,QB,LAR,1988-02-07,1988,2,7,2021,33
135,Hayden Hurst,TE,ATL,1993-08-24,1993,8,24,2021,28
136,Sammy Watkins,WR,KC,1993-06-14,1993,6,14,2021,28
137,KJ Hamler,WR,DEN,1999-07-08,1999,7,8,2021,22
138,Michael Gallup,WR,DAL,1996-03-04,1996,3,4,2021,25
139,Chad Hansen,WR,FA,1995-01-18,1995,1,18,2021,26
140,Gabriel Davis,WR,BUF,1999-04-01,1999,4,1,2021,22
141,Denzel Mims,WR,NYJ,1997-10-10,1997,10,10,2021,24
142,Peyton Barber,RB,WAS,1994-06-27,1994,6,27,2021,27
143,Cam Newton,QB,NE,1989-05-11,1989,5,11,2021,32
144,Matt Breida,RB,BUF,1995-02-28,1995,2,28,2021,26
145,Jonnu Smith,TE,NE,1995-08-22,1995,8,22,2021,26
146,Marquez Valdes-Scantling,WR,GB,1994-10-10,1994,10,10,2021,27
147,Laviska Shenault Jr.,WR,JAC,1998-10-05,1998,10,5,2021,23
148,Mike Williams,WR,LAC,1994-10-04,1994,10,4,2021,27
149,Keelan Cole Sr.,WR,NYJ,1993-04-20,1993,4,20,2021,28
150,Ronald Jones II,RB,TB,1997-08-03,1997,8,3,2021,24
151,Darrel Williams,RB,KC,1995-04-15,1995,4,15,2021,26
152,Breshad Perriman,WR,DET,1993-09-10,1993,9,10,2021,28
153,Adrian Peterson,RB,DET,1985-03-21,1985,3,21,2021,36
154,Rashard Higgins,WR,CLE,1994-10-07,1994,10,7,2021,27
155,Teddy Bridgewater,QB,CAR,1992-11-10,1992,11,10,2021,29
156,Dare Ogunbowale,RB,JAC,1994-05-04,1994,5,4,2021,27
157,A.J. Green,WR,ARI,1988-07-31,1988,7,31,2021,33
158,Jared Cook,TE,LAC,1987-04-07,1987,4,7,2021,34
159,Harrison Butker,K,KC,1995-07-14,1995,7,14,2021,26
160,Justin Tucker,K,BAL,1989-11-21,1989,11,21,2021,32
161,Wil Lutz,K,NO,1994-07-07,1994,7,7,2021,27
162,Younghoe Koo,K,ATL,1994-08-03,1994,8,3,2021,27
163,Ryan Succop,K,TB,1986-09-19,1986,9,19,2021,35
164,Jason Sanders,K,MIA,1995-11-16,1995,11,16,2021,26
165,Philip Rivers,QB,IND,1981-12-08,1981,12,8,2021,40
166,Zach Ertz,TE,PHI,1990-11-10,1990,11,10,2021,31
167,Ka'imi Fairbairn,K,HOU,1994-01-29,1994,1,29,2021,27
168,Dalton Schultz,TE,DAL,1996-07-11,1996,7,11,2021,25
169,Devontae Booker,RB,NYG,1992-05-27,1992,5,27,2021,29
170,Derek Carr,QB,LV,1991-03-28,1991,3,28,2021,30
171,Jerick McKinnon,RB,SF,1992-05-03,1992,5,3,2021,29
172,John Brown,WR,LV,1990-04-03,1990,4,3,2021,31
173,Mecole Hardman,WR,KC,1998-03-12,1998,3,12,2021,23
174,Greg Zuerlein,K,DAL,1987-12-27,1987,12,27,2021,34
175,Brian Hill,RB,ATL,1995-11-09,1995,11,9,2021,26
176,Henry Ruggs III,WR,LV,1999-01-24,1999,1,24,2021,22
177,Christian McCaffrey,RB,CAR,1996-06-07,1996,6,7,2021,25
178,Drew Lock,QB,DEN,1996-11-10,1996,11,10,2021,25
179,Hunter Renfrow,WR,LV,1995-12-21,1995,12,21,2021,26
180,Antonio Gibson,RB,WAS,1998-06-23,1998,6,23,2021,23
181,George Kittle,TE,SF,1993-10-09,1993,10,9,2021,28
182,Alexander Mattison,RB,MIN,1998-06-19,1998,6,19,2021,23
183,Clyde Edwards-Helaire,RB,KC,1999-04-11,1999,4,11,2021,22
184,Jordan Wilkins,RB,IND,1994-07-18,1994,7,18,2021,27
185,Jason Myers,K,SEA,1991-05-12,1991,5,12,2021,30
186,Tevin Coleman,RB,NYJ,1993-04-16,1993,4,16,2021,28
187,Kerryon Johnson,RB,DET,1997-06-30,1997,6,30,2021,24
188,Joshua Kelley,RB,LAC,1997-11-20,1997,11,20,2021,24
189,Mason Crosby,K,GB,1984-09-03,1984,9,3,2021,37
190,Jordan Reed,TE,SF,1990-07-03,1990,7,3,2021,31
191,Lynn Bowden Jr.,RB,MIA,1997-10-14,1997,10,14,2021,24
192,Tyler Bass,K,BUF,1997-02-14,1997,2,14,2021,24
193,Damien Harris,RB,NE,1997-02-11,1997,2,11,2021,24
194,Tyler Higbee,TE,LAR,1993-01-01,1993,1,1,2021,28
195,Joe Mixon,RB,CIN,1996-07-24,1996,7,24,2021,25
196,Cody Parkey,K,CLE,1992-02-19,1992,2,19,2021,29
197,Darrynton Evans,RB,TEN,1998-07-09,1998,7,9,2021,23
198,Tyron Johnson,WR,LAC,1996-01-08,1996,1,8,2021,25
199,Duke Johnson Jr.,RB,FA,1993-09-23,1993,9,23,2021,28
200,Andy Dalton,QB,CHI,1987-10-29,1987,10,29,2021,34
201,Josh Reynolds,WR,TEN,1989-04-13,1989,4,13,2021,32
202,Cam Akers,RB,LAR,1999-06-22,1999,6,22,2021,22
203,Cairo Santos,K,CHI,1991-11-12,1991,11,12,2021,30
204,Zach Pascal,WR,IND,1994-12-18,1994,12,18,2021,27
205,Daniel Carlson,K,LV,1995-01-23,1995,1,23,2021,26
206,Devine Ozigbo,RB,JAC,1996-10-02,1996,10,2,2021,25
207,LeSean McCoy,RB,TB,1988-07-12,1988,7,12,2021,33
208,Alfred Morris,RB,NYG,1988-12-12,1988,12,12,2021,33
209,Ty Johnson,RB,NYJ,1997-09-17,1997,9,17,2021,24
210,Jalen Richard,RB,LV,1993-10-15,1993,10,15,2021,28
211,Greg Ward,WR,PHI,1995-07-12,1995,7,12,2021,26
212,Golden Tate,WR,FA,1988-08-02,1988,8,2,2021,33
213,Tre'Quan Smith,WR,NO,1996-01-07,1996,1,7,2021,25
214,Daniel Jones,QB,NYG,1997-05-27,1997,5,27,2021,24
215,Rodrigo Blankenship,K,IND,1997-01-29,1997,1,29,2021,24
216,Cole Kmet,TE,CHI,1999-03-10,1999,3,10,2021,22
217,Irv Smith Jr.,TE,MIN,1998-08-09,1998,8,9,2021,23
218,Samaje Perine,RB,CIN,1995-09-16,1995,9,16,2021,26
219,Jordan Akins,TE,HOU,1992-04-19,1992,4,19,2021,29
220,Kenny Golladay,WR,NYG,1993-11-03,1993,11,3,2021,28
221,Danny Amendola,WR,DET,1985-11-02,1985,11,2,2021,36
222,Gardner Minshew II,QB,JAC,1996-05-16,1996,5,16,2021,25
223,Kendrick Bourne,WR,NE,1995-08-04,1995,8,4,2021,26
224,Anthony Miller,WR,CHI,1994-10-09,1994,10,9,2021,27
225,James Washington,WR,PIT,1996-04-02,1996,4,2,2021,25
226,Mike Nugent,K,ARI,1982-03-02,1982,3,2,2021,39
227,Jaylen Samuels,RB,PIT,1996-07-20,1996,7,20,2021,25
228,La'Mical Perine,RB,NYJ,1998-01-30,1998,1,30,2021,23
229,Marcus Mariota,QB,LV,1993-10-30,1993,10,30,2021,28
230,Trayveon Williams,RB,CIN,1997-10-18,1997,10,18,2021,24
231,Justin Jackson,RB,LAC,1996-04-22,1996,4,22,2021,25
232,Rodney Smith,RB,CAR,1996-02-28,1996,2,28,2021,25
233,Matt Prater,K,ARI,1984-08-10,1984,8,10,2021,37
234,Taysom Hill,QB,NO,1990-08-23,1990,8,23,2021,31
235,Carson Wentz,QB,IND,1992-12-30,1992,12,30,2021,29
236,Dan Arnold,TE,CAR,1995-03-15,1995,3,15,2021,26
237,Robbie Gould,K,SF,1982-12-06,1982,12,6,2021,39
238,Jake Elliott,K,PHI,1995-01-21,1995,1,21,2021,26
239,Donovan Peoples-Jones,WR,CLE,1999-02-19,1999,2,19,2021,22
240,Chris Boswell,K,PIT,1991-03-16,1991,3,16,2021,30
241,Sam Darnold,QB,NYJ,1997-06-05,1997,6,5,2021,24
242,Demarcus Robinson,WR,KC,1994-09-21,1994,9,21,2021,27
243,Joey Slye,K,CAR,1996-04-10,1996,4,10,2021,25
244,Zane Gonzalez,K,FA,1995-05-07,1995,5,7,2021,26
245,Michael Badgley,K,LAC,1995-07-28,1995,7,28,2021,26
246,Larry Fitzgerald,WR,ARI,1983-08-31,1983,8,31,2021,38
247,Mark Ingram II,RB,HOU,1989-12-21,1989,12,21,2021,32
248,Anthony McFarland Jr.,RB,PIT,1998-03-04,1998,3,4,2021,23
249,Alshon Jeffery,WR,FA,1990-02-14,1990,2,14,2021,31
250,Stephen Gostkowski,K,TEN,1984-01-28,1984,1,28,2021,37
251,Matt Gay,K,LAR,1994-03-15,1994,3,15,2021,27
252,Mohamed Sanu,WR,SF,1989-08-22,1989,8,22,2021,32
253,Jalen Guyton,WR,LAC,1997-06-07,1997,6,7,2021,24
254,Buddy Howell,RB,HOU,1996-03-27,1996,3,27,2021,25
255,Willie Snead IV,WR,LV,1992-10-17,1992,10,17,2021,29
256,Trey Burton,TE,IND,1991-10-29,1991,10,29,2021,30
257,Patrick Laird,RB,MIA,1995-08-17,1995,8,17,2021,26
258,Richie James Jr.,WR,SF,1995-09-05,1995,9,5,2021,26
259,Mike Gesicki,TE,MIA,1995-10-03,1995,10,3,2021,26
260,Alec Ingold,RB,LV,1996-07-09,1996,7,9,2021,25
261,Devonta Freeman,RB,BUF,1992-03-15,1992,3,15,2021,29
262,Travis Fulgham,WR,PHI,1995-09-13,1995,9,13,2021,26
263,Rashaad Penny,RB,SEA,1996-02-02,1996,2,2,2021,25
264,Scotty Miller,WR,TB,1997-07-31,1997,7,31,2021,24
